groups,n_features,cv_rmse_mean,cv_rmse_std,fold_rmses
"['booleans', 'base_numeric', 'time', 'logs', 'interactions']",14,0.10558218195688754,0.00023709917654328566,"[0.10545090464699172, 0.10584517766920605, 0.10586443724902182, 0.10525410741212139, 0.10549628280709668]"
"['booleans', 'base_numeric', 'time', 'interactions']",13,0.1055834489315621,0.0002336769867280759,"[0.10544549847342356, 0.10581726097184564, 0.10588424867558417, 0.1052622856960327, 0.10550795084092449]"
"['base_numeric', 'time', 'logs']",6,0.10607156418740886,0.0002490921564684673,"[0.10599171999190644, 0.10637867896505676, 0.10632835983865326, 0.10571456180479201, 0.10594450033663584]"
"['base_numeric', 'speed_o_curve', 'time']",6,0.10607354479193384,0.00024894996947295633,"[0.10598722862799806, 0.10637026610188662, 0.10634007496425102, 0.10571339221407595, 0.10595676205145758]"
['base_numeric'],4,0.10607523708049287,0.0002527464842255589,"[0.10599061222641902, 0.1063641968031258, 0.10635706854180518, 0.10570738008722158, 0.10595692774389276]"
"['base_numeric', 'speed_o_curve', 'time', 'logs']",7,0.10607543455287075,0.0002483741825241366,"[0.10598697906758124, 0.10638316992262561, 0.1063325137559153, 0.1057224191800335, 0.10595209083819808]"
"['base_numeric', 'time']",5,0.10607779870373887,0.00025375834094746024,"[0.10598619532171667, 0.10639429670405923, 0.10633148717290625, 0.1057071192058306, 0.10596989511418163]"
"['base_numeric', 'speed_o_curve', 'logs']",6,0.10607920186767512,0.0002462803752487842,"[0.10600062631734995, 0.10636402101036786, 0.10635090993872913, 0.10572205268268484, 0.10595839938924374]"
"['base_numeric', 'speed_o_curve']",5,0.10609608242627755,0.00024712740331178965,"[0.10600736526179942, 0.10638073823259518, 0.10636821802433345, 0.10573387437897368, 0.105990216233686]"
"['base_numeric', 'logs']",5,0.10609608242627755,0.00024712740331178965,"[0.10600736526179942, 0.10638073823259518, 0.10636821802433345, 0.10573387437897368, 0.105990216233686]"
"['base_numeric', 'interactions']",8,0.10613610008592458,0.00025829943796677925,"[0.1060460496955238, 0.1064693197032968, 0.10639015466559518, 0.10577283844283208, 0.106002137922375]"
"['base_numeric', 'time', 'interactions']",9,0.10613616955045821,0.0002525266992539656,"[0.10604950520978314, 0.10646533417908184, 0.1063798724578483, 0.10578037206144894, 0.10600576384412888]"
"['base_numeric', 'time', 'logs', 'interactions']",10,0.10613914026817203,0.0002547822678371133,"[0.10604874021418216, 0.10646129723636186, 0.10639490399139243, 0.10577630125691873, 0.10601445864200504]"
"['base_numeric', 'speed_o_curve', 'time', 'interactions']",10,0.10614085720401263,0.0002555130744143978,"[0.106061735960843, 0.10646771675798834, 0.10639491951343012, 0.10578298089532485, 0.10599693289247687]"
"['base_numeric', 'logs', 'interactions']",9,0.10614381558693184,0.00025615060279548645,"[0.10605947790162583, 0.10648181933596783, 0.10638695784977234, 0.10578545947872693, 0.10600536336856634]"
"['base_numeric', 'speed_o_curve', 'interactions']",9,0.10614381558693306,0.00025615060279710896,"[0.10605947790162583, 0.10648181933597398, 0.10638695784977234, 0.10578545947872693, 0.10600536336856634]"
"['base_numeric', 'speed_o_curve', 'logs', 'interactions']",10,0.1061454896489348,0.0002547669940048928,"[0.10605739863503587, 0.10647886964284473, 0.10638995308938007, 0.1057867324290593, 0.10601449444835408]"
"['booleans', 'speed_o_curve', 'time', 'interactions']",10,0.10687082338829763,0.00023909128727128456,"[0.10681092979084408, 0.1070239392193694, 0.1072272771609539, 0.10652223569798075, 0.1067697350723401]"
"['booleans', 'speed_o_curve', 'interactions']",9,0.10687215981310336,0.00024938010298557477,"[0.10678665728889038, 0.1070455229051379, 0.10724142943592742, 0.10651564418914067, 0.10677154524642049]"
"['booleans', 'logs', 'interactions']",9,0.10687215981310336,0.00024938010298557477,"[0.10678665728889038, 0.1070455229051379, 0.10724142943592742, 0.10651564418914067, 0.10677154524642049]"
"['booleans', 'time', 'logs', 'interactions']",10,0.10687514993926617,0.00024233986322933903,"[0.10679337649530099, 0.10704832830467417, 0.10723427235305834, 0.10653475796022645, 0.10676501458307086]"
"['booleans', 'speed_o_curve', 'logs', 'interactions']",10,0.10688797840031043,0.00024952777871450936,"[0.10680211517351615, 0.1070659259255284, 0.10725180146423603, 0.10652587971748102, 0.10679416972079059]"
"['booleans', 'time', 'interactions']",9,0.10699100759737075,0.00025056453948628176,"[0.10691711670331373, 0.10716881444926366, 0.10735951739648844, 0.10663345782946437, 0.10687613160832349]"
"['booleans', 'interactions']",8,0.10700984238884684,0.0002433087284204786,"[0.10691641687153076, 0.10718759854066266, 0.10736366004086201, 0.10665943618844356, 0.10692210030273523]"
"['time', 'logs', 'interactions']",6,0.10734065654667142,0.0002506320984171153,"[0.10729666740483668, 0.10757543634436413, 0.10766320651586517, 0.10698096229399154, 0.1071870101742996]"
"['speed_o_curve', 'time', 'logs', 'interactions']",7,0.10734246124161236,0.0002580742903840686,"[0.10731580579908942, 0.10758400316764825, 0.10766281970166436, 0.10695633652427276, 0.10719334101538698]"
"['speed_o_curve', 'logs', 'interactions']",6,0.10734257733850627,0.0002503434861978649,"[0.10729260452245909, 0.1075775167626801, 0.10765942237505122, 0.10697049550887833, 0.10721284752346269]"
"['speed_o_curve', 'time', 'interactions']",6,0.10734601579780781,0.000249415206478763,"[0.10730985412761218, 0.10758130625650887, 0.10766214680379882, 0.10698425780899451, 0.10719251399212464]"
"['speed_o_curve', 'interactions']",5,0.10735659340148782,0.0002508224090892921,"[0.10731380378485886, 0.10759377840234104, 0.10767388164581275, 0.10698919480629794, 0.10721230836812852]"
"['logs', 'interactions']",5,0.10735659340148782,0.0002508224090892921,"[0.10731380378485886, 0.10759377840234104, 0.10767388164581275, 0.10698919480629794, 0.10721230836812852]"
"['time', 'interactions']",5,0.10743994452846917,0.0002508474517322037,"[0.10739179377442333, 0.10766812020287062, 0.10776345311219915, 0.1070681594693153, 0.10730819608353738]"
['interactions'],4,0.10744769369046306,0.00025458780145200526,"[0.10739984444708897, 0.1076943734754781, 0.10776486557009304, 0.10707305838059512, 0.10730632657906006]"
"['booleans', 'speed_o_curve', 'composite_risk', 'logs']",9,0.111894962585337,0.00045565365061833794,"[0.11268834970729076, 0.11150673176309917, 0.11177506554555629, 0.11207080840744853, 0.1114338575032903]"
"['categorical', 'booleans', 'speed_o_curve', 'composite_risk', 'logs']",13,0.11191636927989387,0.00047145090378714185,"[0.11275480801116196, 0.11152991163610343, 0.11181515023519735, 0.1120469608524859, 0.1114350156645208]"
"['categorical', 'booleans', 'speed_o_curve', 'composite_risk']",12,0.11191854080207808,0.0004719774970255734,"[0.11275298658777967, 0.11153631251740703, 0.1118288097816408, 0.11205167446716714, 0.11142292065639578]"
"['categorical', 'booleans', 'composite_risk', 'logs']",12,0.11193397682820336,0.00048415995155937444,"[0.11277525474100797, 0.11156587716692556, 0.11185071801876129, 0.11208962927983658, 0.11138840493448537]"
"['categorical', 'booleans', 'speed_o_curve', 'composite_risk', 'time']",13,0.11194016108194496,0.00045999963123675964,"[0.11272868443458542, 0.1115725456931246, 0.11187219544580292, 0.11210587749890283, 0.11142150233730902]"
"['categorical', 'booleans', 'composite_risk', 'time', 'logs']",13,0.11194284233536929,0.00047071231910776883,"[0.11277116402427959, 0.11161200859814208, 0.11184010390102415, 0.1120799925220939, 0.11141094263130671]"
"['booleans', 'speed_o_curve', 'composite_risk', 'time', 'logs']",10,0.1119464223723305,0.0004762963702080071,"[0.11277582628732995, 0.11157499559110329, 0.11182622145524412, 0.11212172011973241, 0.11143334840824266]"
"['booleans', 'composite_risk', 'time', 'logs']",9,0.11195900161379244,0.00048234811737790054,"[0.11279808928977446, 0.11154955790719943, 0.11186338737767611, 0.11212862916971544, 0.11145534432459672]"
"['categorical', 'booleans', 'speed_o_curve', 'time', 'logs']",11,0.11197262922241107,0.0004896136747668974,"[0.11282219815155681, 0.11158673154901501, 0.11189857525454143, 0.11212891783510132, 0.11142672332184073]"
"['booleans', 'composite_risk', 'logs']",8,0.11197453328631654,0.00044566711080684684,"[0.11274306197309937, 0.11170397965296072, 0.1118670710245286, 0.1121267405572443, 0.11143181322374968]"
"['categorical', 'booleans', 'speed_o_curve', 'logs']",10,0.11197677004375232,0.00048227170101613576,"[0.11281357293446298, 0.11157320424461478, 0.11188175891774473, 0.11214941722534891, 0.11146589689659026]"
"['booleans', 'speed_o_curve', 'composite_risk', 'time']",9,0.11198926694829603,0.00048482920035166564,"[0.11283594267659845, 0.11159015816281381, 0.11188507701449976, 0.11215620783453077, 0.11147894905303726]"
"['booleans', 'speed_o_curve', 'composite_risk']",8,0.11198982834649755,0.0004822740117508504,"[0.11283361826044175, 0.11165030537745908, 0.11184560451500926, 0.11216340812699208, 0.11145620545258561]"
"['categorical', 'booleans', 'speed_o_curve', 'time']",10,0.11201150484032237,0.0004743979580709118,"[0.11282259760967958, 0.11163493823596236, 0.11196003747987406, 0.11217322981666461, 0.11146672105943121]"
"['categorical', 'booleans', 'speed_o_curve']",9,0.11202946794670347,0.0004692714736836521,"[0.11283528229719597, 0.11165555531738826, 0.1119432325670248, 0.11220645759375932, 0.11150681195814906]"
"['categorical', 'booleans', 'logs']",9,0.11202946794670347,0.0004692714736836521,"[0.11283528229719597, 0.11165555531738826, 0.1119432325670248, 0.11220645759375932, 0.11150681195814906]"
"['categorical', 'booleans', 'time', 'logs']",10,0.11205684977052488,0.0004923328137507077,"[0.11291079178622404, 0.11169130501400411, 0.11191513314708977, 0.11225021146336817, 0.11151680744193831]"
"['speed_o_curve', 'composite_risk', 'logs']",5,0.11225759632163446,0.00046902536457566347,"[0.11309986654822632, 0.11187914945483853, 0.11221619834652281, 0.11232597923219918, 0.11176678802638543]"
"['composite_risk', 'logs']",4,0.11225759632163446,0.00046902536457566347,"[0.11309986654822632, 0.11187914945483853, 0.11221619834652281, 0.11232597923219918, 0.11176678802638543]"
"['speed_o_curve', 'composite_risk']",4,0.11225759632163446,0.00046902536457566347,"[0.11309986654822632, 0.11187914945483853, 0.11221619834652281, 0.11232597923219918, 0.11176678802638543]"
"['composite_risk', 'time', 'logs']",5,0.1123394753570633,0.0004852019656720336,"[0.11322537047409713, 0.11195415458837811, 0.11227426877902696, 0.11239086213062241, 0.11185272081319188]"
"['speed_o_curve', 'composite_risk', 'time']",5,0.1123394753570633,0.0004852019656720336,"[0.11322537047409713, 0.11195415458837811, 0.11227426877902696, 0.11239086213062241, 0.11185272081319188]"
"['categorical', 'speed_o_curve', 'composite_risk', 'logs']",9,0.11234068620861166,0.000471728278418811,"[0.11318050465473091, 0.11197728520061691, 0.11229504763242486, 0.1124256419412993, 0.11182495161398641]"
